Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Symbol,Date,30d_volatility,10d_volatility
2007-01-03 00:00:00-05:00,87.62999725341797,87.62999725341797,87.62999725341797,87.62999725341797,87.62999725341797,0,0.0,0.0,^VVIX,2007-01-03 00:00:00-05:00,,
2007-01-04 00:00:00-05:00,88.19000244140625,88.19000244140625,88.19000244140625,88.19000244140625,88.19000244140625,0,0.0,0.0,^VVIX,2007-01-04 00:00:00-05:00,,
2007-01-05 00:00:00-05:00,90.16999816894531,90.16999816894531,90.16999816894531,90.16999816894531,90.16999816894531,0,0.0,0.0,^VVIX,2007-01-05 00:00:00-05:00,,
2007-01-08 00:00:00-05:00,92.04000091552734,92.04000091552734,92.04000091552734,92.04000091552734,92.04000091552734,0,0.0,0.0,^VVIX,2007-01-08 00:00:00-05:00,,
2007-01-09 00:00:00-05:00,92.76000213623047,92.76000213623047,92.76000213623047,92.76000213623047,92.76000213623047,0,0.0,0.0,^VVIX,2007-01-09 00:00:00-05:00,,
2007-01-10 00:00:00-05:00,93.77999877929688,93.77999877929688,93.77999877929688,93.77999877929688,93.77999877929688,0,0.0,0.0,^VVIX,2007-01-10 00:00:00-05:00,,
2007-01-11 00:00:00-05:00,85.97000122070312,85.97000122070312,85.97000122070312,85.97000122070312,85.97000122070312,0,0.0,0.0,^VVIX,2007-01-11 00:00:00-05:00,,
2007-01-12 00:00:00-05:00,85.18000030517578,85.18000030517578,85.18000030517578,85.18000030517578,85.18000030517578,0,0.0,0.0,^VVIX,2007-01-12 00:00:00-05:00,,
2007-01-16 00:00:00-05:00,85.30000305175781,85.30000305175781,85.30000305175781,85.30000305175781,85.30000305175781,0,0.0,0.0,^VVIX,2007-01-16 00:00:00-05:00,,
2007-01-17 00:00:00-05:00,84.93000030517578,84.93000030517578,84.93000030517578,84.93000030517578,84.93000030517578,0,0.0,0.0,^VVIX,2007-01-17 00:00:00-05:00,,
2007-01-18 00:00:00-05:00,83.66000366210938,83.66000366210938,83.66000366210938,83.66000366210938,83.66000366210938,0,0.0,0.0,^VVIX,2007-01-18 00:00:00-05:00,,48.04939373198793
2007-01-19 00:00:00-05:00,82.48999786376953,82.48999786376953,82.48999786376953,82.48999786376953,82.48999786376953,0,0.0,0.0,^VVIX,2007-01-19 00:00:00-05:00,,47.88088876952099
2007-01-22 00:00:00-05:00,84.43000030517578,84.43000030517578,84.43000030517578,84.43000030517578,84.43000030517578,0,0.0,0.0,^VVIX,2007-01-22 00:00:00-05:00,,48.0624434114991
2007-01-23 00:00:00-05:00,81.4800033569336,81.4800033569336,81.4800033569336,81.4800033569336,81.4800033569336,0,0.0,0.0,^VVIX,2007-01-23 00:00:00-05:00,,47.47192581444954
2007-01-24 00:00:00-05:00,77.51000213623047,77.51000213623047,77.51000213623047,77.51000213623047,77.51000213623047,0,0.0,0.0,^VVIX,2007-01-24 00:00:00-05:00,,49.40987079561629
2007-01-25 00:00:00-05:00,80.44999694824219,80.44999694824219,80.44999694824219,80.44999694824219,80.44999694824219,0,0.0,0.0,^VVIX,2007-01-25 00:00:00-05:00,,55.24204842099994
2007-01-26 00:00:00-05:00,81.36000061035156,81.36000061035156,81.36000061035156,81.36000061035156,81.36000061035156,0,0.0,0.0,^VVIX,2007-01-26 00:00:00-05:00,,40.88185385504708
2007-01-29 00:00:00-05:00,81.68000030517578,81.68000030517578,81.68000030517578,81.68000030517578,81.68000030517578,0,0.0,0.0,^VVIX,2007-01-29 00:00:00-05:00,,41.05332484667525
2007-01-30 00:00:00-05:00,78.9000015258789,78.9000015258789,78.9000015258789,78.9000015258789,78.9000015258789,0,0.0,0.0,^VVIX,2007-01-30 00:00:00-05:00,,43.553490872916484
2007-01-31 00:00:00-05:00,77.27999877929688,77.27999877929688,77.27999877929688,77.27999877929688,77.27999877929688,0,0.0,0.0,^VVIX,2007-01-31 00:00:00-05:00,,43.98829041569078
